,city,latitud,longitud,temperature,wind_speed,cloudiness,humidity,date
354,kourou,5.16,-52.64,296.15,0.94,71,94,1562821298
355,honningsvag,70.98,25.97,282.15,1.5,0,76,1562821299
356,berlevag,70.86,29.09,282.15,1.5,0,76,1562821299
357,pimentel,-3.7,-45.5,293.9,0.16,2,98,1562821300
358,poum,41.28,20.71,285.15,4.1,0,66,1562821300
359,brits,-25.63,27.78,284.82,1.5,0,56,1562821300
360,virginia beach,36.85,-75.98,299.26,4.53,1,94,1562821095
361,wanning,48.64,13.53,286.48,3.1,40,76,1562821301
362,nueva concepcion,14.2,-91.3,300.4,1.53,83,75,1562821301
363,marystown,47.17,-55.16,280.8,3.01,67,90,1562821301
364,ilulissat,69.22,-51.1,278.15,1.5,34,93,1562821302
365,hokitika,-42.72,170.96,283.7,0.59,79,77,1562821302
366,saint anthony,43.97,-111.68,299.15,4.1,1,31,1562821303
367,santa maria,-16.02,-48.01,285.15,1.98,0,71,1562821303
368,shama,33.61,104.29,281.0,1.46,100,98,1562821303
369,yeppoon,-23.13,150.74,298.15,2.6,40,41,1562821304
370,dostpur,26.27,82.47,299.6,6.61,100,90,1562821304
371,kathu,-27.7,23.05,276.48,1.85,0,59,1562821304
372,oussouye,12.49,-16.54,299.1,3.86,27,84,1562821304
373,eureka,40.8,-124.16,291.15,3.1,90,87,1562821058
374,kysyl-syr,63.9,122.77,302.3,2.05,66,34,1562821305
375,sokoni,-12.89,28.78,286.4,2.92,28,48,1562821305
376,erzin,36.95,36.2,300.37,1.25,20,78,1562821306
377,casablanca,33.6,-7.62,292.15,2.6,75,93,1562821306
378,munster,41.56,-87.51,300.37,2.71,40,51,1562821306
379,pandan,11.72,122.09,302.4,3.48,0,72,1562821307
380,port-gentil,-0.72,8.78,296.5,4.88,82,85,1562821308
381,wajima,37.4,136.9,296.15,2.1,75,88,1562821308
382,awjilah,29.14,21.3,302.5,2.7,0,32,1562821308
383,bambanglipuro,-7.95,110.28,297.4,10.29,8,82,1562821309
384,mayo,63.59,-135.9,296.15,2.1,90,38,1562821309
385,margosatubig,7.58,123.17,301.9,2.18,47,71,1562821309
386,khasan,42.43,130.64,289.7,3.23,100,85,1562821310
387,salalah,17.01,54.1,300.15,2.6,75,88,1562821310
388,raudeberg,61.99,5.14,286.15,1.0,75,93,1562821310
389,provideniya,64.42,-173.23,291.15,1.0,0,59,1562821310
390,jiazi,19.61,110.49,307.15,3.0,20,63,1562821311
391,mamallapuram,12.63,80.17,305.15,2.6,75,55,1562821311
392,timiryazevskiy,47.05,39.61,291.15,1.64,20,77,1562821311
393,hualmay,-11.1,-77.61,289.8,6.25,1,89,1562821144
394,prainha,-1.8,-53.48,294.8,0.31,8,98,1562821312
395,izhmorskiy,56.19,86.64,293.9,3.04,0,49,1562821312
396,monte gordo,37.18,-7.45,294.82,2.6,0,64,1562821313
397,geraldton,49.72,-86.95,285.15,5.1,90,100,1562821071
398,juneau,58.3,-134.42,295.15,2.1,40,49,1562821313
399,the valley,18.22,-63.06,300.37,5.1,20,78,1562821314
400,inhambane,-23.87,35.38,291.5,1.55,0,64,1562821133
401,douglas,58.28,-134.39,295.15,2.1,40,49,1562821314
402,touros,-5.2,-35.46,296.15,2.1,40,94,1562821072
403,san patricio,-26.98,-56.83,291.1,3.69,80,82,1562821096
404,zhanaozen,43.35,52.85,303.2,5.56,0,39,1562821315
405,lundazi,-12.29,33.17,288.4,4.11,21,73,1562821316
406,vermillion,42.78,-96.93,294.26,2.1,1,88,1562821316
407,porbandar,21.64,69.61,305.15,6.7,40,70,1562821316
408,san pedro,-33.68,-59.66,282.59,0.5,100,88,1562821317
409,merauke,-8.49,140.4,298.5,8.86,78,76,1562821318
410,pauini,-7.71,-67.0,295.2,0.67,43,79,1562821318
411,ponta delgada,37.73,-25.67,292.15,3.6,20,93,1562821233
412,ibotirama,-12.18,-43.22,291.0,0.44,45,70,1562821319
413,poya,-21.35,165.16,294.8,4.84,55,65,1562821319
414,brasilia,-10.9,-37.55,296.15,7.7,75,94,1562821320
415,camacha,33.08,-16.33,294.15,6.7,75,68,1562821320
416,kita,35.76,139.74,298.71,1.5,75,60,1562821320
417,mitsamiouli,-11.38,43.28,298.15,7.7,20,65,1562821321
418,karaton,-6.34,106.1,305.15,6.2,20,49,1562821321
419,sept-iles,50.2,-66.38,285.37,2.1,20,66,1562821227
420,kodinsk,58.6,99.18,298.8,3.98,97,40,1562821322
421,porto novo,-23.68,-45.44,283.15,0.5,20,87,1562821139
422,bogorodskoye,52.37,140.44,295.4,1.93,100,64,1562821322
423,coahuayana,18.62,-100.35,293.8,0.8,100,97,1562821323
424,la brea,10.24,-61.62,298.71,3.62,20,88,1562821323
425,west wendover,40.74,-114.07,302.15,1.5,1,17,1562821323
426,saint-georges,46.12,-70.67,289.82,3.5,63,26,1562821324
427,havelian,34.05,73.15,302.15,3.1,90,66,1562821325
428,faya,18.39,42.45,295.15,1.64,5,49,1562821325
429,moquegua,-17.19,-70.93,283.4,2.47,0,43,1562821325
430,inuvik,68.36,-133.71,280.15,5.1,90,93,1562821258
431,launceston,-41.43,147.14,284.15,8.2,75,57,1562821326
432,sao joao da barra,-21.64,-41.05,286.9,1.06,0,91,1562821326
433,tilichiki,60.47,166.1,289.1,3.87,48,72,1562821326
434,kalyazin,57.24,37.84,283.5,4.34,100,89,1562821326
435,mvangue,2.97,11.5,292.2,0.1,100,98,1562821327
436,jinchang,38.52,102.19,296.7,4.91,94,23,1562821327
437,ust-nera,64.57,143.24,293.6,3.15,100,53,1562821327
438,kununurra,-15.77,128.74,304.15,4.6,5,18,1562821328
439,fraga,41.52,0.35,293.15,2.6,0,77,1562821328
440,norrtalje,59.76,18.7,287.59,3.6,0,71,1562821328
441,chengde,40.97,117.93,300.2,1.87,67,41,1562821328
442,acajutla,13.59,-89.83,301.7,3.08,43,76,1562821329
443,vila velha,-3.71,-38.6,298.15,3.1,0,78,1562821329
444,troitskoye,52.98,84.68,295.8,3.89,0,51,1562821330
445,lebanon,40.34,-76.42,298.15,1.19,1,83,1562821195
446,jinzhou,41.11,121.12,298.1,4.5,97,69,1562821331
447,pinawa,50.15,-95.88,288.15,1.28,25,70,1562821331
448,kijang,35.24,129.21,300.15,4.1,75,69,1562821313
449,zlobin,45.29,14.65,294.26,1.34,0,55,1562821332
450,dwarka,28.58,77.04,308.15,5.1,40,47,1562821332
451,maragogi,-9.01,-35.22,294.5,1.13,1,94,1562821225
452,bud,62.91,6.91,285.15,1.5,90,93,1562821333
453,catio,11.28,-15.25,299.3,7.1,100,86,1562821333
454,alofi,-19.06,-169.92,299.15,3.6,0,88,1562821333
455,goundam,16.42,-3.66,302.7,3.25,2,48,1562821334
456,bahia blanca,-38.72,-62.27,280.7,0.91,100,83,1562821335
457,salta,-24.79,-65.41,283.15,1.5,0,100,1562821335
458,la rioja,-29.41,-66.86,279.5,0.78,34,78,1562821335
459,port hawkesbury,45.62,-61.36,287.04,3.6,20,82,1562821335
460,bowen,-20.01,148.25,297.04,4.1,75,73,1562821336
461,bambous virieux,-20.34,57.76,296.48,2.6,40,88,1562821336
462,aller,51.06,-2.86,289.82,2.6,90,93,1562821336
463,thunder bay,48.41,-89.26,291.15,6.7,20,72,1562821307
464,barcelos,-0.97,-62.93,294.6,0.62,16,97,1562821337
465,marsabit,2.34,37.99,300.9,8.57,20,48,1562821337
466,preobrazheniye,42.9,133.91,292.8,2.7,99,62,1562821338
467,chaoyang,41.58,120.44,300.1,3.04,100,38,1562821338
468,liuzhou,24.32,109.41,296.7,1.51,100,94,1562821338
469,makokou,0.56,12.85,292.9,1.55,100,98,1562821338
470,taltal,-25.41,-70.49,282.9,2.9,53,91,1562821339
471,tingi,-11.3,35.03,291.2,1.93,68,61,1562821339
472,mahibadhoo,3.78,72.97,302.5,2.13,100,57,1562821339
473,vidisha,23.52,77.8,300.15,7.2,75,83,1562821340
474,bonfim,3.36,-59.84,296.5,3.02,3,86,1562821340
475,abu samrah,35.3,37.18,304.2,4.86,0,27,1562821340
476,puerto escondido,15.86,-97.07,299.15,2.6,40,78,1562821341
477,aleppo,36.2,37.17,301.4,3.77,0,51,1562821341
478,zharkent,44.17,80.0,291.4,2.88,0,57,1562821342
479,tuatapere,-46.13,167.69,284.26,0.45,3,84,1562821115
480,artyom,43.36,132.19,291.15,4.0,40,77,1562821342
481,capreol,46.71,-80.92,293.15,4.6,40,64,1562821118
482,puri,-7.54,112.45,303.5,2.75,0,46,1562821343
483,sabang,13.8,121.11,303.0,1.28,44,75,1562821343
484,zyryanka,65.73,150.89,302.4,2.12,5,33,1562821343
485,vostok,46.45,135.83,299.2,2.13,99,60,1562821344
486,san quintin,17.54,120.52,303.1,3.9,26,71,1562821344
487,qena,26.16,32.72,302.15,2.15,0,35,1562821345
488,miranda,-20.24,-56.38,289.7,1.69,0,56,1562821345
489,ghorawal,24.75,82.78,299.6,2.08,100,87,1562821345
490,deputatskiy,69.3,139.9,296.9,5.1,100,44,1562821346
491,bela,26.23,66.31,304.9,4.69,41,41,1562821346
492,antalaha,-14.9,50.28,296.8,0.69,30,65,1562821346
493,whitecourt,54.14,-115.68,288.15,3.1,40,82,1562821346
494,yanam,16.73,82.22,307.15,5.7,75,56,1562821347
495,ciro marina,39.37,17.13,296.3,11.61,1,61,1562821347
496,puerto baquerizo moreno,-0.9,-89.6,294.6,3.74,95,83,1562821348
497,ugoofaaru,5.67,73.0,302.3,1.75,100,64,1562821085
498,rovaniemi,66.5,25.72,282.15,3.6,0,66,1562821348
499,praia,-20.25,-43.81,285.15,0.38,0,76,1562821348
500,tremedal,-14.98,-41.41,285.8,1.81,7,96,1562821349
501,antofagasta,-23.65,-70.4,287.15,4.6,90,71,1562821349
502,guadalupe y calvo,26.09,-106.96,286.8,2.51,100,94,1562821349
503,petropavlovsk-kamchatskiy,53.05,158.65,292.15,5.0,40,72,1562821349
504,gawler,-34.6,138.75,289.26,5.1,75,82,1562821350
505,nizhniy lomov,53.53,43.67,289.8,6.13,1,72,1562821350
506,buchanan,5.88,-10.05,297.15,4.1,75,94,1562821350
507,kushima,31.5,131.29,302.15,7.7,75,70,1562821351
508,krishnagiri,12.52,78.22,304.3,7.79,85,41,1562821087
509,orlik,53.95,17.74,284.82,2.6,0,87,1562821352
510,biskamzha,53.45,89.53,292.4,1.91,100,59,1562821352
511,solnechnyy,50.72,136.64,301.8,2.2,97,51,1562821352
512,bellavista,21.56,-104.88,296.15,0.77,40,73,1562821353
513,johannesburg,-26.21,28.05,280.93,1.38,0,48,1562821336
514,iskateley,67.68,53.15,280.2,8.8,100,95,1562821353
515,chenghai,23.46,116.77,302.15,2.0,40,83,1562821353
516,jian,25.65,87.89,300.9,1.0,100,84,1562821354
517,mangochi,-14.48,35.26,289.6,2.1,25,77,1562821327
518,benjamin aceval,-24.97,-57.57,288.15,3.21,0,87,1562821354
519,mozarlandia,-14.74,-50.57,290.6,2.21,0,35,1562821355
520,alenquer,-1.95,-54.74,297.15,1.0,0,100,1562821355
521,cao bang,22.67,106.25,298.0,0.8,100,91,1562821355
522,aswan,24.09,32.9,302.15,1.0,0,20,1562821356
523,saint-joseph,43.56,6.97,298.15,1.5,0,77,1562821356
524,eyl,7.98,49.82,303.1,13.39,18,47,1562821356
525,san rafael,-34.61,-68.33,279.8,1.16,79,69,1562821157
526,charlottetown,46.23,-63.13,286.48,2.1,5,87,1562821357
527,agaro,7.86,36.59,290.3,0.47,100,92,1562821358
528,gonbad-e qabus,37.25,55.17,300.15,1.73,75,69,1562821358
529,north platte,41.12,-100.77,292.59,2.6,1,77,1562821359
530,khromtau,50.26,58.44,298.9,3.15,35,37,1562821359
531,aripuana,-9.17,-60.63,294.1,0.78,0,90,1562821102
532,kamina,-8.74,25.0,293.3,3.73,0,34,1562821360
533,bemidji,47.48,-94.89,290.15,1.5,1,93,1562821360
534,constitucion,23.99,-104.67,294.26,4.02,76,61,1562821360
535,college,64.86,-147.8,300.93,1.5,90,61,1562821361
536,skjervoy,70.03,20.97,281.3,0.97,80,82,1562821361
537,amapa,15.09,-87.97,299.15,2.6,40,83,1562821361
538,harwich,41.69,-70.08,295.37,2.6,90,100,1562821362
539,zverinogolovskoye,54.46,64.85,294.5,4.81,100,60,1562821363
540,samoded,63.61,40.52,280.1,3.82,96,80,1562821363
541,medvezhyegorsk,62.92,34.47,279.8,4.11,99,83,1562821363
542,khandyga,62.65,135.58,302.2,0.83,98,44,1562821335
543,olinda,-37.84,145.39,286.48,6.7,75,62,1562821364
544,baykit,61.68,96.39,290.4,6.46,51,57,1562821364
545,samalkha,29.24,77.01,313.4,5.95,5,33,1562821365
546,bihariganj,25.73,86.98,302.9,2.55,100,71,1562821365
547,viedma,-40.81,-62.99,281.2,3.27,65,74,1562821365
548,unity,52.44,-109.15,291.48,0.45,85,88,1562821365
549,hay river,60.82,-115.79,292.15,3.1,40,42,1562821366
550,lucapa,-8.42,20.74,291.7,3.0,24,31,1562821366
551,cobija,-11.02,-68.77,294.4,0.63,19,75,1562821366
552,zhezkazgan,47.8,67.71,302.15,5.0,0,23,1562821366
553,mercedes,-33.25,-58.03,285.37,0.89,84,93,1562821367
554,emerald,-23.53,148.16,297.04,2.6,0,40,1562821367
555,ambon,47.55,-2.56,292.59,2.6,0,82,1562821368
556,trairi,-3.28,-39.27,294.1,2.22,5,94,1562821368
557,phan thiet,10.93,108.1,307.6,5.38,4,44,1562821369
558,jinji,22.16,112.49,303.15,4.93,99,77,1562821369
559,kikwit,-5.04,18.82,295.3,2.02,37,72,1562821369
560,kulhudhuffushi,6.62,73.07,302.0,1.47,100,63,1562821370
561,ballina,54.11,-9.15,287.04,1.79,71,90,1562821370
562,necochea,-38.55,-58.74,277.59,0.89,83,96,1562821228
563,wukari,7.87,9.78,295.1,1.43,100,95,1562821371
564,uvat,59.14,68.9,295.4,6.58,56,59,1562821371
565,concepcion del oro,24.63,-101.42,292.8,3.61,72,56,1562821371
566,bonthe,7.53,-12.5,297.1,3.65,99,91,1562821372
567,giresun,40.91,38.39,296.15,1.5,75,73,1562821372
568,seoul,37.57,126.98,299.15,1.0,90,61,1562821200
569,keti bandar,24.14,67.45,302.1,7.9,100,81,1562821373
570,puerto leguizamo,-0.19,-74.78,294.2,0.19,37,95,1562821211
571,turukhansk,65.8,87.96,290.8,6.95,7,44,1562821373
572,xuddur,4.12,43.89,298.6,8.91,69,65,1562821374
573,gualaquiza,-3.4,-78.58,281.4,1.54,92,95,1562821374
574,izumo,35.37,132.75,302.15,6.2,75,66,1562821374
575,biltine,14.53,20.93,302.9,7.29,98,55,1562821375
576,hollins,37.35,-79.95,297.04,0.92,1,94,1562821375
577,adelaide,-34.93,138.6,288.71,5.1,75,82,1562821081
578,birao,10.3,22.78,296.1,5.44,100,88,1562821376
579,tooele,40.53,-112.3,302.15,4.1,1,39,1562821376
580,meadow lake,54.13,-108.44,287.0,2.89,100,99,1562821376
581,hoi an,15.88,108.33,310.15,3.1,20,42,1562821376
582,la palma,5.36,-74.39,291.7,1.45,25,96,1562821377
583,ayagoz,47.96,80.43,296.2,9.62,0,30,1562821377
584,jalu,29.03,21.55,301.7,2.76,0,40,1562821377
585,obidos,39.36,-9.16,296.15,4.1,0,56,1562821378
586,gizo,31.8,34.94,299.15,3.6,20,78,1562821378
587,mangan,27.5,88.54,288.6,0.4,100,97,1562821378
588,kirakira,-10.46,161.92,300.5,2.61,100,82,1562821378
589,alterosa,-21.25,-46.14,281.9,1.04,41,85,1562821379
590,upata,8.02,-62.41,298.15,1.34,1,85,1562821379
591,arroyo,-11.08,-66.08,294.7,0.3,9,73,1562821379
592,palauig,15.44,119.9,302.6,5.35,1,77,1562821380
593,boshnyakovo,49.65,142.17,283.0,6.55,100,95,1562821380
594,kargasok,59.06,80.87,296.0,3.16,81,47,1562821380
595,jaumave,23.41,-99.38,291.1,1.3,0,88,1562821380
596,atar,20.52,-13.05,301.1,3.79,22,22,1562821381
597,sokolo,14.74,-6.12,299.6,3.08,29,70,1562821381
598,high level,58.52,-117.13,291.15,1.0,75,52,1562821381
599,bhatgaon,21.15,81.7,303.15,8.2,40,70,1562821382
600,nyagan,62.14,65.43,294.8,4.29,94,69,1562821382
601,rochester,44.02,-92.46,294.26,2.1,1,94,1562821383
602,hamilton,43.26,-79.87,298.15,3.6,90,88,1562821383
603,shimoda,34.7,138.93,297.15,3.6,90,64,1562821384
604,lewistown,40.39,-90.15,298.15,2.6,40,78,1562821384
605,damoh,23.84,79.44,302.9,7.77,100,68,1562821384
606,aykhal,65.95,111.51,300.15,4.0,75,30,1562821385
607,belaya gora,68.54,146.19,301.8,3.97,36,31,1562821385
608,manta,45.1,24.1,288.8,1.81,0,62,1562821385
609,todos santos,23.45,-110.23,303.15,1.0,5,58,1562821386
610,nabire,-3.36,135.5,299.0,2.52,84,69,1562821386
611,yasnyy,64.04,44.09,279.3,3.93,100,91,1562821386
612,saint-augustin,45.63,-73.98,297.04,2.1,75,83,1562821387
613,pahrump,36.21,-115.98,307.15,6.2,1,7,1562821179
614,plettenberg bay,-34.05,23.37,287.3,2.91,0,38,1562821388
615,bathurst,-33.42,149.58,284.26,2.68,0,60,1562821388
616,kaniama,-7.57,24.18,294.1,1.66,0,43,1562821388
617,leh,34.16,77.58,282.6,1.14,55,51,1562821388
618,santo domingo,18.48,-69.94,300.37,0.45,15,84,1562821193
619,almaznyy,48.03,40.04,291.15,2.61,20,77,1562821389
620,laguna,16.17,-88.94,298.15,0.84,40,94,1562821390
621,mildura,-34.18,142.16,290.15,7.7,90,55,1562821390
622,naze,5.43,7.07,295.2,0.45,90,98,1562821390
623,fez,34.03,-5.02,292.15,3.1,0,77,1562821391
624,davila,18.47,120.58,304.15,5.7,20,70,1562821391
625,yashalta,46.34,42.27,290.9,1.43,100,88,1562821392
626,thanh hoa,10.21,106.33,304.15,2.1,40,66,1562821392
627,northam,-31.65,116.67,290.15,2.6,75,67,1562821392
628,rivers,50.03,-100.23,291.15,2.1,75,82,1562821392
629,le pradet,46.44,1.83,288.15,0.5,0,87,1562821393
630,sambava,-14.27,50.17,297.7,1.54,75,63,1562821393
631,buala,-8.15,159.59,301.1,2.25,100,78,1562821393
632,penticton,49.49,-119.59,292.15,1.5,75,82,1562821394
633,constantine,36.36,6.61,290.15,0.96,0,82,1562821394
634,port hedland,-20.31,118.58,302.15,8.2,100,13,1562821395
635,maningrida,-12.05,134.23,301.2,5.28,0,44,1562821395
636,nador,35.17,-2.93,296.15,4.24,75,83,1562821395
637,pasni,25.26,63.48,306.2,3.26,64,51,1562821395
638,sohag,26.55,31.7,302.15,1.0,0,42,1562821396
639,te anau,-45.41,167.72,281.5,0.63,0,81,1562821396
640,kastamonu,41.38,33.78,290.9,1.79,52,78,1562821396
641,bayan,36.1,102.26,286.0,3.31,100,70,1562821397
642,marsa matruh,31.35,27.25,297.15,4.1,0,94,1562821249
643,angoche,-16.23,39.91,295.9,3.35,4,69,1562821397
644,mujiayingzi,42.12,118.78,292.2,2.23,79,61,1562821398
645,baijiantan,45.63,85.18,300.1,2.32,0,18,1562821398
646,oranjestad,12.52,-70.03,300.15,7.7,40,83,1562821209
647,piacabucu,-10.41,-36.43,296.7,5.78,57,87,1562821399
648,nouakchott,18.08,-15.98,296.15,3.6,91,88,1562821399
649,zakopane,49.3,19.95,284.26,3.6,40,81,1562821161
650,charters towers,-20.07,146.27,296.8,4.53,51,53,1562821400
651,grand gaube,-20.01,57.66,296.48,2.6,40,88,1562821400
652,gao,16.28,-0.04,303.4,3.69,0,41,1562821401
653,chapayevka,53.06,158.83,292.15,5.0,40,72,1562821401
654,impfondo,1.62,18.06,294.7,1.63,100,95,1562821402
655,tonekabon,36.82,50.88,301.15,1.0,20,65,1562821402
656,taurianova,38.36,16.01,299.82,2.6,40,83,1562821402
657,mulege,26.88,-111.98,304.4,1.15,0,40,1562821403
658,yerbogachen,61.28,108.01,301.6,3.2,96,33,1562821403
659,paramonga,-10.68,-77.82,289.0,5.54,44,90,1562821403
660,pathein,16.78,94.73,303.1,5.4,84,73,1562821403
661,hirara,24.8,125.28,304.15,10.3,75,79,1562821404
662,waipawa,-39.94,176.59,284.82,4.02,59,77,1562821404
663,candido de abreu,-24.57,-51.33,283.5,1.09,71,97,1562821404
664,monrovia,6.33,-10.8,297.15,4.1,75,94,1562821405
665,cedar city,37.68,-113.06,298.15,3.6,1,22,1562821218
666,sur,22.57,59.53,307.3,4.01,52,47,1562821405
667,stepnyak,52.83,70.79,298.7,5.93,5,38,1562821405
668,mahajanga,-15.72,46.32,292.15,1.0,20,93,1562821219
669,recife,-28.48,-48.99,285.1,0.82,54,89,1562821214
670,walvis bay,-22.95,14.51,290.15,2.6,90,93,1562821406
671,coreau,-3.53,-40.66,293.5,1.05,17,87,1562821406
672,glubczyce,50.2,17.83,288.15,2.1,0,82,1562821407
673,sfantu gheorghe,44.65,26.83,292.04,2.6,0,87,1562821407
674,tyukhtet,56.54,89.31,295.9,2.64,2,34,1562821407
675,dhidhdhoo,6.88,73.1,301.9,0.87,100,64,1562821408
676,lavrentiya,65.58,-170.99,294.7,2.59,5,32,1562821408
677,maracaju,-21.61,-55.17,288.2,2.44,0,58,1562821408
678,nhulunbuy,-12.18,136.78,300.15,6.7,40,57,1562821409
679,banda aceh,5.56,95.32,302.3,4.88,99,74,1562821409
680,praia da vitoria,38.73,-27.07,292.15,2.99,20,88,1562821409
681,manzhouli,49.6,117.43,301.9,3.06,33,28,1562821410
682,anton lizardo,19.05,-95.98,300.15,2.47,75,100,1562821410
683,cairns,-16.92,145.77,299.15,5.7,40,61,1562821304
684,tessalit,20.2,1.01,303.6,2.89,15,28,1562821410
685,coruripe,-10.12,-36.18,293.2,0.79,14,96,1562821411
686,vir,43.52,17.21,285.15,1.5,20,76,1562821411
687,dzilam gonzalez,21.28,-88.93,300.4,4.58,99,86,1562821411
688,goderich,43.74,-81.71,296.48,6.36,80,89,1562821412
689,kidal,18.44,1.41,304.6,2.87,80,30,1562821231
690,vydrino,51.46,104.64,288.7,1.12,10,72,1562821412
691,bosaso,11.28,49.18,308.15,14.4,0,39,1562821412
692,qaqortoq,60.72,-46.03,280.15,2.6,50,81,1562821413
693,ustye,58.76,27.79,285.4,3.8,100,64,1562821413
694,troitsko-pechorsk,62.71,56.19,287.6,4.48,75,86,1562821413
695,itambacuri,-18.04,-41.68,285.1,0.8,0,94,1562821414
696,glendive,47.11,-104.71,294.15,2.6,1,100,1562821414
697,ordzhonikidzevskiy,43.84,41.9,291.1,1.59,87,76,1562821414
698,khanpur,28.65,70.66,313.7,8.79,0,30,1562821415
699,udimskiy,61.14,45.92,281.2,2.65,94,87,1562821415
700,arlit,18.74,7.39,306.0,4.87,1,27,1562821415
701,sao bartolomeu de messines,37.26,-8.29,294.82,2.6,0,64,1562821416
702,marienburg,52.12,9.98,288.15,0.5,75,82,1562821416
703,nadym,65.53,72.51,292.2,7.03,100,82,1562821417
704,kenora,49.76,-94.48,292.15,2.6,20,55,1562821345
705,matara,-3.48,29.48,292.15,3.1,75,88,1562821417
706,podgorenskiy,50.4,39.64,291.2,2.95,4,66,1562821418
707,salumbar,24.14,74.05,302.15,3.1,75,66,1562821418
